id,season,city,date,match_type,player_of_match,venue,team1,team2,toss_winner,toss_decision,winner,result,result_margin,target_runs,target_overs,super_over,method,umpire1,umpire2
1426266,2024,Kolkata,14-04-2024,League,PD Salt,"Eden Gardens, Kolkata",Lucknow Super Giants,Kolkata Knight Riders,Kolkata Knight Riders,field,Kolkata Knight Riders,wickets,8,162,20,N,NA,A Totre,Vinod Seshan
1426267,2024,Mumbai,14-04-2024,League,M Pathirana,"Wankhede Stadium, Mumbai",Chennai Super Kings,Mumbai Indians,Mumbai Indians,field,Chennai Super Kings,runs,20,207,20,N,NA,Nitin Menon,HAS Khalid
1426268,2024,Bengaluru,15-04-2024,League,TM Head,"M Chinnaswamy Stadium, Bengaluru",Sunrisers Hyderabad,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Sunrisers Hyderabad,runs,25,288,20,N,NA,AK Chaudhary,R Pandit
1426269,2024,Kolkata,16-04-2024,League,JC Buttler,"Eden Gardens, Kolkata",Kolkata Knight Riders,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,2,224,20,N,NA,MA Gough,UV Gandhe
1426270,2024,Ahmedabad,17-04-2024,League,RR Pant,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Delhi Capitals,Delhi Capitals,field,Delhi Capitals,wickets,6,90,20,N,NA,NA Patwardhan,VK Sharma
1426271,2024,Mohali,18-04-2024,League,JJ Bumrah,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Mumbai Indians,Punjab Kings,Punjab Kings,field,Mumbai Indians,runs,9,193,20,N,NA,A Nand Kishore,VA Kulkarni
1426272,2024,Lucknow,19-04-2024,League,KL Rahul,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,8,177,20,N,NA,AK Chaudhary,R Pandit
1426273,2024,Delhi,20-04-2024,League,TM Head,"Arun Jaitley Stadium, Delhi",Sunrisers Hyderabad,Delhi Capitals,Delhi Capitals,field,Sunrisers Hyderabad,runs,67,267,20,N,NA,J Madanagopal,Navdeep Singh
1426274,2024,Kolkata,21-04-2024,League,AD Russell,"Eden Gardens, Kolkata",Kolkata Knight Riders,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Kolkata Knight Riders,runs,1,223,20,N,NA,A Totre,Vinod Seshan
1426275,2024,Mohali,21-04-2024,League,R Sai Kishore,"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",Punjab Kings,Gujarat Titans,Punjab Kings,bat,Gujarat Titans,wickets,3,143,20,N,NA,A Nand Kishore,VA Kulkarni
1426276,2024,Jaipur,22-04-2024,League,Sandeep Sharma,"Sawai Mansingh Stadium, Jaipur",Mumbai Indians,Rajasthan Royals,Mumbai Indians,bat,Rajasthan Royals,wickets,9,180,20,N,NA,AK Chaudhary,MV Saidharshan Kumar
1426277,2024,Chennai,23-04-2024,League,MP Stoinis,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,6,211,20,N,NA,NA Patwardhan,Tapan Sharma
1426278,2024,Delhi,24-04-2024,League,RR Pant,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Gujarat Titans,Gujarat Titans,field,Delhi Capitals,runs,4,225,20,N,NA,KN Ananthapadmanabhan,UV Gandhe
1426279,2024,Hyderabad,25-04-2024,League,RM Patidar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Royal Challengers Bengaluru,Sunrisers Hyderabad,Royal Challengers Bengaluru,bat,Royal Challengers Bengaluru,runs,35,207,20,N,NA,Nitin Menon,HAS Khalid
1426280,2024,Kolkata,26-04-2024,League,JM Bairstow,"Eden Gardens, Kolkata",Kolkata Knight Riders,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,8,262,20,N,NA,AK Chaudhary,YC Barde
1426281,2024,Delhi,27-04-2024,League,J Fraser-McGurk,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Mumbai Indians,Mumbai Indians,field,Delhi Capitals,runs,10,258,20,N,NA,Navdeep Singh,NA Patwardhan
1426282,2024,Lucknow,27-04-2024,League,SV Samson,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Lucknow Super Giants,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,7,197,20,N,NA,KN Ananthapadmanabhan,MA Gough
1426283,2024,Ahmedabad,28-04-2024,League,WG Jacks,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,9,201,20,N,NA,Nitin Menon,VK Sharma
1426284,2024,Chennai,28-04-2024,League,RD Gaikwad,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Sunrisers Hyderabad,Sunrisers Hyderabad,field,Chennai Super Kings,runs,78,213,20,N,NA,R Pandit,MV Saidharshan Kumar
1426285,2024,Kolkata,29-04-2024,League,CV Varun,"Eden Gardens, Kolkata",Delhi Capitals,Kolkata Knight Riders,Delhi Capitals,bat,Kolkata Knight Riders,wickets,7,154,20,N,NA,Navdeep Singh,Tapan Sharma
1426286,2024,Lucknow,30-04-2024,League,MP Stoinis,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Mumbai Indians,Lucknow Super Giants,Lucknow Super Giants,field,Lucknow Super Giants,wickets,4,145,20,N,NA,MA Gough,UV Gandhe
1426287,2024,Chennai,01-05-2024,League,Harpreet Brar,"MA Chidambaram Stadium, Chepauk, Chennai",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Punjab Kings,wickets,7,163,20,N,NA,HAS Khalid,VK Sharma
1426288,2024,Hyderabad,02-05-2024,League,B Kumar,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Sunrisers Hyderabad,Rajasthan Royals,Sunrisers Hyderabad,bat,Sunrisers Hyderabad,runs,1,202,20,N,NA,AK Chaudhary,YC Barde
1426289,2024,Mumbai,03-05-2024,League,VR Iyer,"Wankhede Stadium, Mumbai",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,24,170,20,N,NA,J Madanagopal,Tapan Sharma
1426290,2024,Bengaluru,04-05-2024,League,Mohammed Siraj,"M Chinnaswamy Stadium, Bengaluru",Gujarat Titans,Royal Challengers Bengaluru,Royal Challengers Bengaluru,field,Royal Challengers Bengaluru,wickets,4,148,20,N,NA,A Totre,Vinod Seshan
1426291,2024,Dharamsala,05-05-2024,League,RA Jadeja,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Chennai Super Kings,Punjab Kings,Punjab Kings,field,Chennai Super Kings,runs,28,168,20,N,NA,A Nand Kishore,VA Kulkarni
1426292,2024,Lucknow,05-05-2024,League,SP Narine,"Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow",Kolkata Knight Riders,Lucknow Super Giants,Lucknow Super Giants,field,Kolkata Knight Riders,runs,98,236,20,N,NA,MV Saidharshan Kumar,YC Barde
1426293,2024,Mumbai,06-05-2024,League,SA Yadav,"Wankhede Stadium, Mumbai",Sunrisers Hyderabad,Mumbai Indians,Mumbai Indians,field,Mumbai Indians,wickets,7,174,20,N,NA,Navdeep Singh,Tapan Sharma
1426294,2024,Delhi,07-05-2024,League,Kuldeep Yadav,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Rajasthan Royals,Rajasthan Royals,field,Delhi Capitals,runs,20,222,20,N,NA,KN Ananthapadmanabhan,UV Gandhe
1426295,2024,Hyderabad,08-05-2024,League,TM Head,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Lucknow Super Giants,Sunrisers Hyderabad,Lucknow Super Giants,bat,Sunrisers Hyderabad,wickets,10,166,20,N,NA,MV Saidharshan Kumar,YC Barde
1426296,2024,Dharamsala,09-05-2024,League,V Kohli,"Himachal Pradesh Cricket Association Stadium, Dharamsala",Royal Challengers Bengaluru,Punjab Kings,Punjab Kings,field,Royal Challengers Bengaluru,runs,60,242,20,N,NA,Nitin Menon,HAS Khalid
1426297,2024,Ahmedabad,10-05-2024,League,Shubman Gill,"Narendra Modi Stadium, Ahmedabad",Gujarat Titans,Chennai Super Kings,Chennai Super Kings,field,Gujarat Titans,runs,35,232,20,N,NA,KN Ananthapadmanabhan,NA Patwardhan
1426298,2024,Kolkata,11-05-2024,League,CV Varun,"Eden Gardens, Kolkata",Kolkata Knight Riders,Mumbai Indians,Mumbai Indians,field,Kolkata Knight Riders,runs,18,158,16,N,NA,UV Gandhe,Vinod Seshan
1426299,2024,Chennai,12-05-2024,League,Simarjeet Singh,"MA Chidambaram Stadium, Chepauk, Chennai",Rajasthan Royals,Chennai Super Kings,Rajasthan Royals,bat,Chennai Super Kings,wickets,5,142,20,N,NA,R Pandit,YC Barde
1426300,2024,Bengaluru,12-05-2024,League,C Green,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Delhi Capitals,Delhi Capitals,field,Royal Challengers Bengaluru,runs,47,188,20,N,NA,A Nand Kishore,VA Kulkarni
1426302,2024,Delhi,14-05-2024,League,I Sharma,"Arun Jaitley Stadium, Delhi",Delhi Capitals,Lucknow Super Giants,Lucknow Super Giants,field,Delhi Capitals,runs,19,209,20,N,NA,A Totre,Vinod Seshan
1426303,2024,Guwahati,15-05-2024,League,SM Curran,"Barsapara Cricket Stadium, Guwahati",Rajasthan Royals,Punjab Kings,Rajasthan Royals,bat,Punjab Kings,wickets,5,145,20,N,NA,R Pandit,MV Saidharshan Kumar
1426305,2024,Mumbai,17-05-2024,League,N Pooran,"Wankhede Stadium, Mumbai",Lucknow Super Giants,Mumbai Indians,Mumbai Indians,field,Lucknow Super Giants,runs,18,215,20,N,NA,Navdeep Singh,R Pandit
1426306,2024,Bengaluru,18-05-2024,League,F du Plessis,"M Chinnaswamy Stadium, Bengaluru",Royal Challengers Bengaluru,Chennai Super Kings,Chennai Super Kings,field,Royal Challengers Bengaluru,runs,27,219,20,N,NA,A Totre,KN Ananthapadmanabhan
1426307,2024,Hyderabad,19-05-2024,League,Abhishek Sharma,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",Punjab Kings,Sunrisers Hyderabad,Punjab Kings,bat,Sunrisers Hyderabad,wickets,4,215,20,N,NA,Nitin Menon,VK Sharma
1426309,2024,Ahmedabad,21-05-2024,Qualifier 1,MA Starc,"Narendra Modi Stadium, Ahmedabad",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,8,160,20,N,NA,AK Chaudhary,R Pandit
1426310,2024,Ahmedabad,22-05-2024,Eliminator,R Ashwin,"Narendra Modi Stadium, Ahmedabad",Royal Challengers Bengaluru,Rajasthan Royals,Rajasthan Royals,field,Rajasthan Royals,wickets,4,173,20,N,NA,KN Ananthapadmanabhan,MV Saidharshan Kumar
1426311,2024,Chennai,24-05-2024,Qualifier 2,Shahbaz Ahmed,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Rajasthan Royals,Rajasthan Royals,field,Sunrisers Hyderabad,runs,36,176,20,N,NA,Nitin Menon,VK Sharma
1426312,2024,Chennai,26-05-2024,Final,MA Starc,"MA Chidambaram Stadium, Chepauk, Chennai",Sunrisers Hyderabad,Kolkata Knight Riders,Sunrisers Hyderabad,bat,Kolkata Knight Riders,wickets,8,114,20,N,NA,J Madanagopal,Nitin Menon
